// MONSTERS
Billboard:3.0f,-0.5f,8.0f:0.0f,0.0f,0.0f:1.0f:skeleton:dynamic

// TREES
Billboard:6.0f,0.0f,0.0f:0.0f,0.0f,0.0f:2.0f:tree:enviro
Billboard:6.0f,0.0f,1.0f:0.0f,0.0f,0.0f:2.0f:tree:enviro
Billboard:6.0f,0.0f,2.0f:0.0f,0.0f,0.0f:2.0f:tree:enviro
Billboard:6.0f,0.0f,3.0f:0.0f,0.0f,0.0f:2.0f:tree:enviro
Billboard:6.0f,0.0f,4.0f:0.0f,0.0f,0.0f:2.0f:tree:enviro
Billboard:6.0f,0.0f,5.0f:0.0f,0.0f,0.0f:2.0f:tree:enviro
Billboard:6.0f,0.0f,6.0f:0.0f,0.0f,0.0f:2.0f:tree:enviro
Billboard:6.0f,0.0f,7.0f:0.0f,0.0f,0.0f:2.0f:tree:enviro
Billboard:6.0f,0.0f,8.0f:0.0f,0.0f,0.0f:2.0f:tree:enviro
Billboard:6.0f,0.0f,9.0f:0.0f,0.0f,0.0f:2.0f:tree:enviro
Billboard:6.0f,0.0f,10.0f:0.0f,0.0f,0.0f:2.0f:tree:enviro
Billboard:0.0f,0.0f,0.0f:0.0f,0.0f,0.0f:2.0f:tree:enviro
Billboard:0.0f,0.0f,1.0f:0.0f,0.0f,0.0f:2.0f:tree:enviro
Billboard:0.0f,0.0f,2.0f:0.0f,0.0f,0.0f:2.0f:tree:enviro
Billboard:0.0f,0.0f,3.0f:0.0f,0.0f,0.0f:2.0f:tree:enviro
Billboard:0.0f,0.0f,4.0f:0.0f,0.0f,0.0f:2.0f:tree:enviro
Billboard:0.0f,0.0f,5.0f:0.0f,0.0f,0.0f:2.0f:tree:enviro
Billboard:0.0f,0.0f,6.0f:0.0f,0.0f,0.0f:2.0f:tree:enviro
Billboard:0.0f,0.0f,7.0f:0.0f,0.0f,0.0f:2.0f:tree:enviro
Billboard:0.0f,0.0f,8.0f:0.0f,0.0f,0.0f:2.0f:tree:enviro
Billboard:0.0f,0.0f,9.0f:0.0f,0.0f,0.0f:2.0f:tree:enviro
Billboard:0.0f,0.0f,10.0f:0.0f,0.0f,0.0f:2.0f:tree:enviro
